symptoms,department
"eczema, pigmentation, fungal infection",Dermatologist
"sore throat, runny nose, loss of appetite",ENT
"cold, loss of appetite, cough",General Physician
"child cough, baby vomiting, child sore throat",Pediatrician
"blood in cough, breast lump, persistent fatigue, night sweats",Oncologist
"sweating, shortness of breath, fatigue with breathlessness",Cardiologist
"tingling, severe headache, seizure",Neurologist
"hopelessness, anxiety",Psychiatrist
"sore throat, cough",General Physician
"non healing ulcer, swollen lymph nodes, persistent bone pain, blood in stool",Oncologist
"double vision, dry eyes, blurred vision",Ophthalmologist
"indigestion, gas",Gastroenterologist
"left arm pain, pressure in chest, sweating",Cardiologist
"burning urination, testicular swelling, lower abdominal pain urination",Urologist
"eczema, hives, psoriasis",Dermatologist
"severe headache, dizziness, fainting",Neurologist
"hopelessness, hallucinations, suicidal thoughts",Psychiatrist
"difficulty starting urination, night urination, testicular swelling, blood in urine",Urologist
"tremor, neck pain radiating, balance problem",Neurologist
"knee pain, swelling, arthritis",Orthopedic
"boils, redness",Dermatologist
"boils, itching",Dermatologist
"shoulder pain, neck stiffness",Orthopedic
"mild fever, headache",General Physician
"blurred vision, double vision, sensitivity to light",Ophthalmologist
"frequent urination, urine infection, painful urination with fever, testicular swelling",Urologist
"insomnia, overthinking, trauma flashbacks",Psychiatrist
"dehydration, baby vomiting, child cough, rash with fever",Pediatrician
"bone pain, swelling, difficulty walking",Orthopedic
"neck pain radiating, numbness",Neurologist
"pus near gum, swollen gums, toothache",Dentist
"newborn feeding issue, diarrhea, vaccination query",Pediatrician
"arthritis, fracture",Orthopedic
"itchy eyes, dry eyes",Ophthalmologist
"bleeding gums, pain while chewing, bad breath",Dentist
"food poisoning, constipation, stomach cramps, blood in stool",Gastroenterologist
"hip pain, fracture",Orthopedic
"flu, runny nose, body ache",General Physician
"diarrhea, child fever, child stomach pain, child cough",Pediatrician
"bloating, stomach cramps, diarrhea",Gastroenterologist
"nausea, diarrhea, acidity, blood in stool",Gastroenterologist
"persistent hoarseness, unexplained weight loss",Oncologist
"gas, constipation, abdominal pain",Gastroenterologist
"cough, body ache, sore throat, mild fever",General Physician
"swollen lymph nodes, breast lump, non healing ulcer",Oncologist
"difficulty seeing far, swollen eyelid",Ophthalmologist
"child cough, child sore throat, ear pain",Pediatrician
"night sweats, loss of appetite, blood in stool, abdominal swelling",Oncologist
"blood in stool, food poisoning, stomach cramps",Gastroenterologist
"night sweats, persistent fatigue, unusual bleeding",Oncologist
"tooth pain with headache, jaw pain",Dentist
"heartburn, abdominal pain, acidity, nausea",Gastroenterologist
"food poisoning, nausea, stomach cramps, abdominal pain",Gastroenterologist
"low grade fever, dizziness, loss of appetite, mild fever",General Physician
"itchy eyes, night vision problem, double vision",Ophthalmologist
"runny nose, swollen neck glands, vertigo",ENT
"painful periods, vaginal infection, period cramps",Gynecologist
"overthinking, hallucinations, stress",Psychiatrist
"diarrhea, newborn feeding issue, vaccination query",Pediatrician
"eye strain headache, watering eyes, foreign body sensation",Ophthalmologist
"blood in stool, acidity",Gastroenterologist
"double vision, difficulty seeing far, swollen eyelid",Ophthalmologist
"addiction, anxiety, social anxiety",Psychiatrist
"blood in cough, night sweats, unexplained weight loss",Oncologist
"heavy bleeding, pelvic pain, spotting, itching",Gynecologist
"lower abdominal pain urination, burning urination, urine leakage",Urologist
"overthinking, depressed mood, addiction",Psychiatrist
"unexplained weight loss, blood in stool, blood in cough",Oncologist
"dizziness, fainting, left arm pain",Cardiologist
"dandruff, pigmentation, itching",Dermatologist
"mouth ulcer, jaw pain",Dentist
"sprain, joint pain",Orthopedic
"low grade fever, sore throat, weakness, loss of appetite",General Physician
"redness, itching",Dermatologist
"child sore throat, child fever",Pediatrician
"gum swelling, toothache",Dentist
"dry skin, dandruff, skin rash, psoriasis",Dermatologist
"difficulty concentrating, hallucinations, overthinking, insomnia",Psychiatrist
"stomach cramps, loss of appetite, bloating, acidity",Gastroenterologist
"indigestion, diarrhea, gas, loss of appetite",Gastroenterologist
"tremor, tingling, fainting",Neurologist
"child sore throat, child wheezing, child stomach pain",Pediatrician
"redness, psoriasis, skin allergy",Dermatologist
"insomnia, social anxiety, anger issues",Psychiatrist
"foreign body sensation, eye discharge, night vision problem",Ophthalmologist
"itching, hair fall, dandruff",Dermatologist
"chills, fever, body ache",General Physician
"allergic rhinitis, swollen neck glands, sinus pain, vertigo",ENT
"rash with fever, child stomach pain, newborn feeding issue, child sore throat",Pediatrician
"persistent fatigue, persistent bone pain, persistent cough, breast lump",Oncologist
"sprain, wrist injury",Orthopedic
"itchy eyes, eye pain, eye strain headache",Ophthalmologist
"broken tooth, swollen gums, bleeding while brushing",Dentist
"blurred vision, eye strain headache, sensitivity to light",Ophthalmologist
"high blood pressure, left arm pain, palpitations",Cardiologist
"indigestion, constipation, jaundice, bloating",Gastroenterologist
"double vision, red eye, blurred vision",Ophthalmologist
"burning urination, lower abdominal pain urination, testicular swelling",Urologist
"newborn feeding issue, child wheezing, baby vomiting, child sore throat",Pediatrician
"pus near gum, cavity pain, bleeding gums, tooth pain with headache",Dentist
"frequent urination, back pain near kidneys, burning urination",Urologist
"fatigue with breathlessness, pressure in chest, leg swelling, sweating",Cardiologist
"vomiting, indigestion, gas",Gastroenterologist
"balance problem, severe headache, memory loss",Neurologist
"kidney stone pain, burning urination, blood in urine, frequent urination",Urologist
"flu, dizziness",General Physician
"mild fever, cold, dizziness, cough",General Physician
"body ache, mild fever",General Physician
"nose bleeding, hearing loss, vertigo, tonsillitis",ENT
"vomiting, bloating, diarrhea",Gastroenterologist
"chest tightness, dizziness, fainting",Cardiologist
"runny nose, blocked nose, sore throat",ENT
"lower abdominal pain, painful periods, pregnancy nausea",Gynecologist
"insomnia, stress, hopelessness",Psychiatrist
"child stomach pain, vaccination query, child cough",Pediatrician
"bleeding while brushing, pain while chewing",Dentist
"neck stiffness, bone pain, arthritis, muscle strain",Orthopedic
"knee pain, wrist injury, swelling, sprain",Orthopedic
"numbness, neck pain radiating",Neurologist
"spotting, pregnancy nausea",Gynecologist
"kidney stone pain, painful urination with fever, urine leakage",Urologist
"mood swings, anger issues",Psychiatrist
"low grade fever, loss of appetite",General Physician
"blood in stool, indigestion, constipation, nausea",Gastroenterologist
"persistent fatigue, breast lump",Oncologist
"ringing in ear, tonsillitis",ENT
"night urination, groin pain, reduced urine flow",Urologist
"left arm pain, dizziness",Cardiologist
"red eye, swollen eyelid, dry eyes",Ophthalmologist
"hopelessness, anxiety",Psychiatrist
"insomnia, difficulty concentrating, social anxiety, suicidal thoughts",Psychiatrist
"memory loss, severe headache",Neurologist
"eye strain headache, foreign body sensation",Ophthalmologist
"hearing loss, allergic rhinitis, ear discharge",ENT
"dehydration, child wheezing, newborn feeding issue",Pediatrician
"period cramps, heavy bleeding",Gynecologist
"painful urination with fever, urine infection",Urologist
"ringworm, redness, eczema",Dermatologist
"irregular periods, itching, white discharge, pcos symptoms",Gynecologist
"loss of appetite, blood in stool, nausea",Gastroenterologist
"runny nose, throat infection, ear pain",ENT
"fracture, joint pain",Orthopedic
"severe headache, fainting, neck pain radiating",Neurologist
"fracture, joint pain, swelling, back pain",Orthopedic
"panic attacks, stress",Psychiatrist
"shoulder pain, back pain, difficulty walking, bone pain",Orthopedic
"lower back pain radiating, difficulty walking, back pain, neck stiffness",Orthopedic
"neck stiffness, joint pain",Orthopedic
"persistent cough, night sweats, blood in stool",Oncologist
"overthinking, social anxiety, addiction, difficulty concentrating",Psychiatrist
"breast lump, swollen lymph nodes, persistent cough",Oncologist
"double vision, blurred vision, eye discharge",Ophthalmologist
"painful periods, pelvic pain",Gynecologist
"stress, trauma flashbacks, insomnia, overthinking",Psychiatrist
"stress, difficulty concentrating",Psychiatrist
"newborn feeding issue, baby constipation",Pediatrician
"left arm pain, rapid heartbeat, sweating, breathlessness at night",Cardiologist
"sudden vision loss, red eye, sensitivity to light",Ophthalmologist
"itching, psoriasis, hives",Dermatologist
"jaw pain, gum swelling, wisdom tooth pain",Dentist
"speech difficulty, seizure",Neurologist
"throat infection, ringing in ear, nose bleeding, ear discharge",ENT
"difficulty seeing far, double vision",Ophthalmologist
"heartburn, nausea, constipation",Gastroenterologist
"fainting, blurred vision with headache, severe headache",Neurologist
"arthritis, joint pain, difficulty walking",Orthopedic
"mood swings, stress, difficulty concentrating, panic attacks",Psychiatrist
"fast breathing, blocked nose, child stomach pain",Pediatrician
"unusual bleeding, unexplained weight loss, swollen lymph nodes",Oncologist
"heavy bleeding, pregnancy nausea, lower abdominal pain",Gynecologist
"bleeding gums, pus near gum, wisdom tooth pain",Dentist
"ringing in ear, sinus pain, throat infection",ENT
"eye strain headache, foreign body sensation, itchy eyes, night vision problem",Ophthalmologist
"leg swelling, palpitations, rapid heartbeat",Cardiologist
"blocked nose, sinus pain",ENT
"palpitations, pressure in chest",Cardiologist
"sudden vision loss, red eye, double vision",Ophthalmologist
"white discharge, period cramps",Gynecologist
"fainting, pressure in chest, sweating",Cardiologist
"testicular swelling, lower abdominal pain urination, difficulty starting urination",Urologist
"non healing ulcer, abdominal swelling, persistent cough, unusual bleeding",Oncologist
"sore throat, swollen neck glands, loss of voice, hearing loss",ENT
"indigestion, bloating, stomach cramps",Gastroenterologist
"runny nose, body ache, cough",General Physician
"heartburn, bloating, gas",Gastroenterologist
"vaccination query, child cough",Pediatrician
"one sided weakness, severe headache, balance problem",Neurologist
"gum swelling, cavity pain",Dentist
"hallucinations, depressed mood, anger issues, suicidal thoughts",Psychiatrist
"lower abdominal pain urination, groin pain, blood in urine, difficulty starting urination",Urologist
"low grade fever, cold, weakness, mild fever",General Physician
"dandruff, skin allergy, dry skin",Dermatologist
"swollen eyelid, difficulty seeing far, eye strain headache, sensitivity to light",Ophthalmologist
"blurred vision, sudden vision loss, eye discharge, swollen eyelid",Ophthalmologist
"high blood pressure, chest tightness, sweating",Cardiologist
"blurred vision with headache, numbness, fainting",Neurologist
"postpartum bleeding, white discharge",Gynecologist
"dehydration, child stomach pain",Pediatrician
"eye strain headache, eye discharge, swollen eyelid",Ophthalmologist
"shoulder pain, difficulty walking, joint pain",Orthopedic
"one sided weakness, tremor, speech difficulty",Neurologist
"white discharge, period cramps, pelvic pain",Gynecologist
"lower back pain radiating, sprain, swelling",Orthopedic
"swelling, neck stiffness, back pain",Orthopedic
"sensitivity to light, dry eyes, foreign body sensation",Ophthalmologist
"indigestion, gas, bloating, abdominal pain",Gastroenterologist
"food poisoning, constipation, vomiting",Gastroenterologist
"swollen gums, broken tooth, pus near gum",Dentist
"dehydration, rash with fever",Pediatrician
"ear pain, sinus pain, tonsillitis",ENT
"blocked nose, ear pain, nose bleeding",ENT
"shoulder pain, joint pain, lower back pain radiating",Orthopedic
"difficulty starting urination, urine infection",Urologist
"vaginal infection, itching, pcos symptoms",Gynecologist
"social anxiety, anxiety, difficulty concentrating",Psychiatrist
"hallucinations, addiction, hopelessness",Psychiatrist
"heavy bleeding, period cramps, postpartum bleeding",Gynecologist
"anxiety, depressed mood, addiction",Psychiatrist
"unexplained weight loss, swollen lymph nodes, abdominal swelling",Oncologist
"dandruff, fungal infection, boils",Dermatologist
"persistent fatigue, persistent hoarseness",Oncologist
"diarrhea, constipation, indigestion, acidity",Gastroenterologist
"difficulty swallowing, unusual bleeding",Oncologist
"sinus pain, blocked nose, loss of voice",ENT
"shortness of breath, left arm pain, pressure in chest, sweating",Cardiologist
"fungal infection, pigmentation",Dermatologist
"memory loss, balance problem, speech difficulty, confusion",Neurologist
"postpartum bleeding, period cramps, pelvic pain",Gynecologist
"numbness, dizziness, memory loss",Neurologist
"fracture, hip pain, shoulder pain, swelling",Orthopedic
"difficulty concentrating, anger issues, trauma flashbacks",Psychiatrist
"urinary urgency, painful urination with fever",Urologist
"urine leakage, blood in urine, urine infection, back pain near kidneys",Urologist
"lower back pain radiating, bone pain, knee pain",Orthopedic
"wisdom tooth pain, bleeding while brushing, pain while chewing",Dentist
"toothache, gum swelling",Dentist
"cavity pain, toothache, bleeding gums",Dentist
"psoriasis, skin rash, itching",Dermatologist
"throat infection, allergic rhinitis, ringing in ear",ENT
"heavy bleeding, lower abdominal pain",Gynecologist
"loss of appetite, vomiting, acidity",Gastroenterologist
"bad breath, pus near gum, bleeding gums, pain while chewing",Dentist
"urine leakage, burning urination, groin pain, back pain near kidneys",Urologist
"mouth ulcer, pus near gum",Dentist
"diarrhea, indigestion, abdominal pain",Gastroenterologist
"breathlessness at night, rapid heartbeat",Cardiologist
"baby constipation, fast breathing, diarrhea",Pediatrician
"swollen lymph nodes, unusual bleeding",Oncologist
"bad breath, gum swelling, bleeding gums, wisdom tooth pain",Dentist
"dandruff, eczema",Dermatologist
"foreign body sensation, swollen eyelid, sudden vision loss, red eye",Ophthalmologist
"blurred vision with headache, tremor",Neurologist
"persistent cough, persistent hoarseness",Oncologist
"acne, redness, ringworm",Dermatologist
"newborn feeding issue, ear pain, fast breathing",Pediatrician
"vertigo, allergic rhinitis, blocked nose",ENT
"nose bleeding, sore throat, ringing in ear",ENT
"fatigue, loss of appetite, dizziness, headache",General Physician
"urine infection, frequent urination",Urologist
"sudden vision loss, difficulty seeing far, itchy eyes",Ophthalmologist
"eczema, skin rash, hair fall",Dermatologist
"blood in stool, persistent cough, night sweats, difficulty swallowing",Oncologist
"mouth ulcer, broken tooth, bleeding while brushing",Dentist
"fainting, breathlessness at night, sweating, fatigue with breathlessness",Cardiologist
"unexplained weight loss, blood in cough, persistent bone pain",Oncologist
"acidity, diarrhea, loss of appetite",Gastroenterologist
"balance problem, migraine, speech difficulty, blurred vision with headache",Neurologist
"trauma flashbacks, suicidal thoughts, insomnia, hallucinations",Psychiatrist
"anxiety, trauma flashbacks, insomnia",Psychiatrist
"jaw pain, tooth sensitivity, gum swelling",Dentist
"night urination, kidney stone pain, painful urination with fever",Urologist
"swollen eyelid, eye discharge, night vision problem, sensitivity to light",Ophthalmologist
"blurred vision, dry eyes, double vision",Ophthalmologist
"frequent urination, urine leakage, testicular swelling",Urologist
"chest tightness, dizziness, palpitations",Cardiologist
"blood in urine, urinary urgency, night urination, painful urination with fever",Urologist
"loss of voice, tonsillitis, swollen neck glands, vertigo",ENT
"difficulty concentrating, anger issues, stress, mood swings",Psychiatrist
"testicular swelling, urine leakage",Urologist
"blood in urine, frequent urination",Urologist
"loss of appetite, gas, nausea",Gastroenterologist
"cold, weakness, sore throat",General Physician
"anger issues, insomnia",Psychiatrist
"loss of appetite, vomiting",Gastroenterologist
"missed period, itching, spotting",Gynecologist
"unexplained weight loss, loss of appetite, persistent cough",Oncologist
"chest tightness, dizziness",Cardiologist
"back pain, joint pain, swelling",Orthopedic
"blurred vision, difficulty seeing far, itchy eyes",Ophthalmologist
"blood in urine, groin pain, back pain near kidneys",Urologist
"back pain, swelling, fracture",Orthopedic
"flu, headache, mild fever",General Physician
"fainting, chest pain, pressure in chest",Cardiologist
"throat infection, ear pain, nose bleeding",ENT
"groin pain, kidney stone pain, burning urination, night urination",Urologist
"fracture, wrist injury, arthritis",Orthopedic
"rapid heartbeat, dizziness, high blood pressure",Cardiologist
"high blood pressure, breathlessness at night, rapid heartbeat, chest pain",Cardiologist
"abdominal pain, vomiting",Gastroenterologist
"fungal infection, redness, acne, dandruff",Dermatologist
"fatigue, headache, body ache",General Physician
"fainting, confusion",Neurologist
"skin allergy, hives, fungal infection",Dermatologist
"watering eyes, sensitivity to light, eye strain headache, sudden vision loss",Ophthalmologist
"night sweats, swollen lymph nodes, breast lump",Oncologist
"eye strain headache, sudden vision loss, blurred vision",Ophthalmologist
"neck pain radiating, balance problem, numbness, tingling",Neurologist
"nausea, gas, food poisoning, heartburn",Gastroenterologist
"blood in stool, diarrhea, acidity",Gastroenterologist
"fatigue, runny nose, cough",General Physician
"mouth ulcer, cavity pain, toothache",Dentist
"left arm pain, high blood pressure, palpitations, fainting",Cardiologist
"blood in urine, back pain near kidneys, lower abdominal pain urination",Urologist
"breathlessness at night, palpitations, sweating",Cardiologist
"throat infection, sinus pain, allergic rhinitis",ENT
"anxiety, anger issues, hallucinations",Psychiatrist
"fever, loss of appetite, chills",General Physician
"newborn feeding issue, ear pain, dehydration, diarrhea",Pediatrician
"ringing in ear, allergic rhinitis, vertigo",ENT
"fainting, neck pain radiating, tremor",Neurologist
"flu, dizziness",General Physician
"sore throat, fatigue, low grade fever",General Physician
"fainting, chest pain",Cardiologist
"hearing loss, throat infection",ENT
"hives, dandruff, itching",Dermatologist
"irregular heartbeat, shortness of breath",Cardiologist
"irregular periods, heavy bleeding, vaginal infection",Gynecologist
"sudden vision loss, dry eyes, watering eyes",Ophthalmologist
"fainting, speech difficulty, severe headache",Neurologist
"hopelessness, addiction, panic attacks",Psychiatrist
"irregular periods, pcos symptoms, spotting",Gynecologist
"period cramps, pcos symptoms, pelvic pain, vaginal infection",Gynecologist
"broken tooth, pain while chewing, bleeding gums, cavity pain",Dentist
"social anxiety, trauma flashbacks, addiction, mood swings",Psychiatrist
"anxiety, social anxiety",Psychiatrist
"back pain, knee pain, bone pain, neck stiffness",Orthopedic
"hallucinations, depressed mood, hopelessness",Psychiatrist
"ringing in ear, ear pain, allergic rhinitis",ENT
"difficulty starting urination, groin pain",Urologist
"chest tightness, leg swelling, left arm pain",Cardiologist
"fainting, seizure, numbness",Neurologist
"dry skin, fungal infection, pigmentation, eczema",Dermatologist
"child fever, newborn feeding issue",Pediatrician
"muscle strain, wrist injury, lower back pain radiating",Orthopedic
"tooth sensitivity, bleeding while brushing, broken tooth",Dentist
"difficulty seeing far, sensitivity to light",Ophthalmologist
"abdominal pain, heartburn, constipation, indigestion",Gastroenterologist
"loss of appetite, persistent fatigue",Oncologist
"food poisoning, stomach cramps, loss of appetite",Gastroenterologist
"indigestion, abdominal pain, vomiting, blood in stool",Gastroenterologist
"ringworm, hives",Dermatologist
"skin rash, itching, skin allergy, redness",Dermatologist
"unexplained weight loss, persistent cough, night sweats",Oncologist
"postpartum bleeding, painful periods, lower abdominal pain",Gynecologist
"pressure in chest, high blood pressure, rapid heartbeat",Cardiologist
"persistent fatigue, persistent hoarseness, loss of appetite, night sweats",Oncologist
"swollen eyelid, foreign body sensation",Ophthalmologist
"burning urination, lower abdominal pain urination, kidney stone pain",Urologist
"pregnancy nausea, vaginal infection, heavy bleeding",Gynecologist
"pelvic pain, vaginal infection",Gynecologist
"blurred vision, foreign body sensation",Ophthalmologist
"ringing in ear, swollen neck glands, hearing loss",ENT
"trauma flashbacks, addiction, depressed mood",Psychiatrist
"breathlessness at night, irregular heartbeat, dizziness",Cardiologist
"back pain, muscle strain, joint pain",Orthopedic
"weakness, fever, runny nose",General Physician
"persistent cough, breast lump, non healing ulcer",Oncologist
"painful urination with fever, kidney stone pain, reduced urine flow, frequent urination",Urologist
"lower abdominal pain, pelvic pain, white discharge, postpartum bleeding",Gynecologist
"blocked nose, loss of voice, ear discharge",ENT
"hallucinations, suicidal thoughts, panic attacks, insomnia",Psychiatrist
"baby constipation, child stomach pain, ear pain",Pediatrician
"tooth sensitivity, pain while chewing, pus near gum",Dentist
"loss of appetite, blood in cough, persistent hoarseness",Oncologist
"anxiety, hallucinations",Psychiatrist
"leg swelling, chest pain, fainting",Cardiologist
"bloating, diarrhea, indigestion, jaundice",Gastroenterologist
"food poisoning, bloating, diarrhea, constipation",Gastroenterologist
"acidity, heartburn, jaundice",Gastroenterologist
"painful periods, white discharge, postpartum bleeding",Gynecologist
"non healing ulcer, abdominal swelling, blood in cough",Oncologist
"heavy bleeding, lower abdominal pain",Gynecologist
"baby constipation, vaccination query",Pediatrician
"insomnia, social anxiety, depressed mood",Psychiatrist
"blurred vision with headache, severe headache, dizziness",Neurologist
"vertigo, nose bleeding, sore throat",ENT
"tonsillitis, allergic rhinitis, ear discharge, loss of voice",ENT
"fainting, severe headache, tingling, seizure",Neurologist
"itching, skin rash",Dermatologist
"hives, pigmentation, ringworm, skin rash",Dermatologist
"social anxiety, hopelessness, anger issues",Psychiatrist
"vaginal infection, pcos symptoms, lower abdominal pain",Gynecologist
"eye discharge, sensitivity to light, difficulty seeing far",Ophthalmologist
"numbness, fainting",Neurologist
"cough, mild fever, fever, chills",General Physician
"food poisoning, indigestion, diarrhea",Gastroenterologist
"fainting, severe headache, tingling",Neurologist
"dizziness, pressure in chest, left arm pain, sweating",Cardiologist
"difficulty seeing far, eye strain headache",Ophthalmologist
"suicidal thoughts, overthinking",Psychiatrist
"trauma flashbacks, social anxiety, overthinking, anger issues",Psychiatrist
"balance problem, numbness",Neurologist
"anger issues, panic attacks, anxiety",Psychiatrist
"jaw pain, bad breath, gum swelling",Dentist
"breathlessness at night, fatigue with breathlessness, leg swelling",Cardiologist
"anxiety, mood swings, hallucinations, anger issues",Psychiatrist
"sudden vision loss, swollen eyelid, blurred vision",Ophthalmologist
"acidity, abdominal pain, jaundice",Gastroenterologist
"vertigo, sinus pain",ENT
"broken tooth, cavity pain, tooth pain with headache, bleeding gums",Dentist
"toothache, wisdom tooth pain, cavity pain",Dentist
"heartburn, vomiting, stomach cramps",Gastroenterologist
"psoriasis, ringworm, redness, skin rash",Dermatologist
"gas, nausea",Gastroenterologist
"fracture, muscle strain, back pain",Orthopedic
"ear pain, allergic rhinitis, vertigo",ENT
"mild fever, low grade fever, headache",General Physician
"double vision, itchy eyes, eye strain headache, foreign body sensation",Ophthalmologist
"wisdom tooth pain, bad breath, swollen gums",Dentist
"child stomach pain, child sore throat, child wheezing, blocked nose",Pediatrician
"chest tightness, high blood pressure, fatigue with breathlessness, fainting",Cardiologist
"eye discharge, watering eyes, eye pain",Ophthalmologist
"jaundice, stomach cramps",Gastroenterologist
"loss of appetite, flu, runny nose",General Physician
"persistent cough, non healing ulcer, unusual bleeding",Oncologist
"palpitations, breathlessness at night, pressure in chest, chest pain",Cardiologist
"anxiety, stress, mood swings, depressed mood",Psychiatrist
"eczema, skin allergy, skin rash, fungal infection",Dermatologist
"difficulty concentrating, stress",Psychiatrist
"high blood pressure, shortness of breath, leg swelling",Cardiologist
"blurred vision with headache, migraine, neck pain radiating",Neurologist
"child wheezing, diarrhea, child sore throat",Pediatrician
"shortness of breath, sweating, fatigue with breathlessness",Cardiologist
"rapid heartbeat, chest pain, shortness of breath, pressure in chest",Cardiologist
"fever, cough, weakness, runny nose",General Physician
"burning urination, painful urination with fever",Urologist
"social anxiety, hopelessness, anger issues",Psychiatrist
"palpitations, left arm pain, irregular heartbeat",Cardiologist
"severe headache, migraine, one sided weakness",Neurologist
"fast breathing, ear pain, child stomach pain",Pediatrician
"loss of appetite, body ache, runny nose",General Physician
"nausea, jaundice, abdominal pain",Gastroenterologist
"vaginal infection, irregular periods, missed period, itching",Gynecologist
"persistent hoarseness, night sweats, breast lump",Oncologist
"flu, cough, weakness",General Physician
"ear pain, sore throat, swollen neck glands",ENT
"stomach cramps, diarrhea, jaundice",Gastroenterologist
"persistent bone pain, persistent fatigue, breast lump",Oncologist
"knee pain, muscle strain, wrist injury",Orthopedic
"diarrhea, child fever",Pediatrician
"diarrhea, newborn feeding issue",Pediatrician
"painful urination with fever, blood in urine, difficulty starting urination",Urologist
"ear discharge, ringing in ear, throat infection, hearing loss",ENT
"chest pain, leg swelling",Cardiologist
"vomiting, constipation, jaundice",Gastroenterologist
"swollen neck glands, allergic rhinitis, ringing in ear, throat infection",ENT
"gas, constipation, diarrhea",Gastroenterologist
"pus near gum, tooth pain with headache",Dentist
"vaccination query, rash with fever, baby vomiting",Pediatrician
"blood in stool, swollen lymph nodes, abdominal swelling",Oncologist
"night urination, blood in urine",Urologist
"hearing loss, vertigo, loss of voice",ENT
"sensitivity to light, eye pain",Ophthalmologist
"difficulty starting urination, blood in urine",Urologist
"non healing ulcer, loss of appetite, persistent bone pain",Oncologist
"ear discharge, allergic rhinitis, sinus pain",ENT
"joint pain, knee pain, arthritis",Orthopedic
"postpartum bleeding, irregular periods, spotting",Gynecologist
"fever, headache, mild fever",General Physician
"bleeding while brushing, wisdom tooth pain, cavity pain",Dentist
"urinary urgency, blood in urine, burning urination, reduced urine flow",Urologist
"difficulty seeing far, dry eyes, sensitivity to light",Ophthalmologist
"cavity pain, swollen gums",Dentist
"loss of appetite, mild fever, cough, chills",General Physician
"difficulty concentrating, suicidal thoughts",Psychiatrist
"hallucinations, trauma flashbacks, depressed mood",Psychiatrist
"nose bleeding, hearing loss",ENT
"ear pain, newborn feeding issue, dehydration, child sore throat",Pediatrician
"redness, hives, fungal infection",Dermatologist
"acidity, indigestion",Gastroenterologist
"loss of appetite, blood in stool, abdominal swelling",Oncologist
"fainting, leg swelling, left arm pain",Cardiologist
"urine infection, urinary urgency, testicular swelling",Urologist
"eye discharge, watering eyes, night vision problem, dry eyes",Ophthalmologist
"tonsillitis, runny nose, throat infection",ENT
"blood in stool, non healing ulcer, persistent bone pain",Oncologist
"missed period, breast tenderness, heavy bleeding",Gynecologist
"depressed mood, addiction, anxiety, hallucinations",Psychiatrist
"diarrhea, child sore throat, child cough",Pediatrician
"memory loss, one sided weakness",Neurologist
"fatigue with breathlessness, palpitations",Cardiologist
"difficulty walking, arthritis, muscle strain, lower back pain radiating",Orthopedic
"fast breathing, blocked nose, vaccination query",Pediatrician
"blurred vision with headache, tingling",Neurologist
"fainting, tremor",Neurologist
"allergic rhinitis, blocked nose, vertigo",ENT
"one sided weakness, neck pain radiating, numbness",Neurologist
"urine infection, urine leakage, back pain near kidneys",Urologist
"child cough, ear pain",Pediatrician
"dandruff, pigmentation, itching",Dermatologist
"food poisoning, acidity",Gastroenterologist
"eye discharge, eye strain headache, itchy eyes",Ophthalmologist
"ear pain, rash with fever",Pediatrician
"overthinking, anger issues, depressed mood",Psychiatrist
"chest tightness, pressure in chest",Cardiologist
"allergic rhinitis, blocked nose, sore throat",ENT
"fast breathing, blocked nose, ear pain",Pediatrician
"leg swelling, sweating",Cardiologist
"sore throat, fatigue, cold",General Physician
"abdominal pain, diarrhea",Gastroenterologist
"left arm pain, shortness of breath",Cardiologist
"blood in urine, kidney stone pain",Urologist
"ear discharge, hearing loss, loss of voice",ENT
"hallucinations, anger issues",Psychiatrist
"swollen neck glands, blocked nose",ENT
"eye discharge, red eye, eye pain, sudden vision loss",Ophthalmologist
"red eye, sensitivity to light",Ophthalmologist
"cavity pain, pus near gum, bad breath",Dentist
"blood in cough, unexplained weight loss, persistent fatigue",Oncologist
"irregular periods, vaginal infection, lower abdominal pain",Gynecologist
"chest tightness, chest pain, irregular heartbeat, leg swelling",Cardiologist
"persistent fatigue, abdominal swelling",Oncologist
"baby vomiting, ear pain",Pediatrician
"dehydration, blocked nose, diarrhea",Pediatrician
"depressed mood, suicidal thoughts, anger issues",Psychiatrist
"period cramps, missed period, vaginal infection",Gynecologist
"period cramps, breast tenderness, spotting",Gynecologist
"stomach cramps, food poisoning, acidity, loss of appetite",Gastroenterologist
"pain while chewing, tooth pain with headache, toothache",Dentist
"painful urination with fever, reduced urine flow",Urologist
"child sore throat, newborn feeding issue, baby constipation, child wheezing",Pediatrician
"blocked nose, loss of voice, allergic rhinitis",ENT
"itching, irregular periods, pcos symptoms, lower abdominal pain",Gynecologist
"fainting, seizure, neck pain radiating",Neurologist
"child stomach pain, baby constipation, child wheezing, vaccination query",Pediatrician
"sudden vision loss, dry eyes, eye pain",Ophthalmologist
"itchy eyes, red eye, eye strain headache",Ophthalmologist
"hip pain, fracture",Orthopedic
"mood swings, anger issues, hallucinations",Psychiatrist
"back pain, difficulty walking, swelling",Orthopedic
"hip pain, bone pain, swelling, knee pain",Orthopedic
"sinus pain, loss of voice, tonsillitis",ENT
"eye pain, swollen eyelid",Ophthalmologist
"persistent cough, persistent bone pain",Oncologist
"fracture, swelling, back pain",Orthopedic
"urine infection, blood in urine, frequent urination, burning urination",Urologist
"acne, eczema",Dermatologist
